
======================================================================
  Arbitrage Paper Trading System
  Exchanges: binance, kraken, coinbase
  Symbols: BTC-USD, ETH-USD, SOL-USD
  Redis: connected
  Database: connected
  API Server: http://localhost:8000
  Starting Balance: $10,000.00
  Press Ctrl+C to stop
======================================================================

[10:15:49] Messages: 15600 (binance=14789  kraken=15  coinbase=796) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:49] Messages: 15800 (binance=14986  kraken=15  coinbase=799) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:49] Messages: 16000 (binance=15185  kraken=15  coinbase=800) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:50] Messages: 16200 (binance=15374  kraken=15  coinbase=811) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:51] Messages: 16400 (binance=15553  kraken=15  coinbase=832) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:52] Messages: 16600 (binance=15743  kraken=15  coinbase=842) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:54] Messages: 16800 (binance=15926  kraken=17  coinbase=857) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:55] Messages: 17000 (binance=16123  kraken=17  coinbase=860) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:55] Messages: 17200 (binance=16319  kraken=17  coinbase=864) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:55] Messages: 17400 (binance=16516  kraken=17  coinbase=867) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:55] Messages: 17600 (binance=16715  kraken=17  coinbase=868) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:57] Messages: 17800 (binance=16899  kraken=17  coinbase=884) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:00] Messages: 18000 (binance=17074  kraken=18  coinbase=908) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:00] Messages: 18200 (binance=17270  kraken=18  coinbase=912) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:01] Messages: 18400 (binance=17457  kraken=18  coinbase=925) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:03] Messages: 18600 (binance=17640  kraken=19  coinbase=941) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:06] Messages: 18800 (binance=17811  kraken=21  coinbase=968) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:08] Messages: 19000 (binance=18000  kraken=21  coinbase=979) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:12] Messages: 19200 (binance=18176  kraken=21  coinbase=1003) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:15] Messages: 19400 (binance=18357  kraken=22  coinbase=1021) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:17] Messages: 19600 (binance=18544  kraken=22  coinbase=1034) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:20] Messages: 19800 (binance=18715  kraken=22  coinbase=1063) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
