timestamp_utc,symbol,exchange,mid_price,best_bid,best_ask
2026-03-11T15:38:04.435+00:00,BTC-USD,coinbase,70155.815,70155.58,70156.05
2026-03-11T15:38:04.539+00:00,ETH-USD,coinbase,2043.205,2043.2,2043.21
2026-03-11T15:38:04.553+00:00,SOL-USD,coinbase,85.14500000000001,85.14,85.15
2026-03-11T15:38:04.553+00:00,ETH-USD,coinbase,2043.205,2043.2,2043.21
2026-03-11T15:38:04.571+00:00,BTC-USD,coinbase,70155.965,70155.96,70155.97
2026-03-11T15:38:04.787+00:00,ETH-USD,coinbase,2043.275,2043.24,2043.31
2026-03-11T15:38:04.818+00:00,BTC-USD,coinbase,70156.01000000001,70155.57,70156.45
2026-03-11T15:38:04.849+00:00,SOL-USD,coinbase,85.14500000000001,85.14,85.15
2026-03-11T15:38:05.032+00:00,ETH-USD,coinbase,2043.2350000000001,2043.21,2043.26
2026-03-11T15:38:05.070+00:00,BTC-USD,coinbase,70157.085,70156.57,70157.6
2026-03-11T15:38:05.099+00:00,SOL-USD,coinbase,85.14500000000001,85.14,85.15
2026-03-11T15:38:05.194+00:00,BTC-USD,coinbase,70157.085,70156.57,70157.6
2026-03-11T15:38:05.287+00:00,ETH-USD,coinbase,2043.435,2043.43,2043.44
2026-03-11T15:38:05.322+00:00,BTC-USD,coinbase,70166.39499999999,70166.39,70166.4
2026-03-11T15:38:05.350+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:05.436+00:00,BTC-USD,coinbase,70166.39499999999,70166.39,70166.4
2026-03-11T15:38:05.534+00:00,ETH-USD,coinbase,2043.435,2043.43,2043.44
2026-03-11T15:38:05.535+00:00,ETH-USD,coinbase,2043.435,2043.43,2043.44
2026-03-11T15:38:05.542+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:05.574+00:00,BTC-USD,coinbase,70166.39499999999,70166.39,70166.4
2026-03-11T15:38:05.598+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:05.819+00:00,ETH-USD,coinbase,2043.435,2043.43,2043.44
2026-03-11T15:38:05.821+00:00,BTC-USD,coinbase,70166.39499999999,70166.39,70166.4
2026-03-11T15:38:05.856+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:06.020+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:06.032+00:00,ETH-USD,coinbase,2043.435,2043.43,2043.44
2026-03-11T15:38:06.100+00:00,SOL-USD,coinbase,85.17,85.16,85.18
2026-03-11T15:38:06.355+00:00,ETH-USD,coinbase,2043.435,2043.43,2043.44
2026-03-11T15:38:06.355+00:00,BTC-USD,coinbase,70166.39499999999,70166.39,70166.4
2026-03-11T15:38:06.355+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:06.457+00:00,BTC-USD,coinbase,70166.39499999999,70166.39,70166.4
2026-03-11T15:38:06.529+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:06.537+00:00,ETH-USD,coinbase,2043.435,2043.43,2043.44
2026-03-11T15:38:06.574+00:00,BTC-USD,coinbase,70166.36499999999,70166.33,70166.4
2026-03-11T15:38:06.604+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:06.915+00:00,ETH-USD,coinbase,2043.435,2043.43,2043.44
2026-03-11T15:38:06.915+00:00,BTC-USD,coinbase,70164.515,70164.51,70164.52
2026-03-11T15:38:06.915+00:00,SOL-USD,coinbase,85.14500000000001,85.14,85.15
2026-03-11T15:38:07.033+00:00,ETH-USD,coinbase,2043.125,2043.12,2043.13
2026-03-11T15:38:07.066+00:00,SOL-USD,kraken,85.14500000000001,85.14,85.15
2026-03-11T15:38:07.094+00:00,BTC-USD,coinbase,70158.17499999999,70158.17,70158.18
2026-03-11T15:38:07.098+00:00,SOL-USD,coinbase,85.14500000000001,85.14,85.15
2026-03-11T15:38:07.165+00:00,BTC-USD,coinbase,70158.17499999999,70158.17,70158.18
2026-03-11T15:38:07.285+00:00,ETH-USD,coinbase,2043.125,2043.12,2043.13
2026-03-11T15:38:07.399+00:00,BTC-USD,coinbase,70154.85500000001,70154.85,70154.86
2026-03-11T15:38:07.457+00:00,SOL-USD,coinbase,85.155,85.15,85.16
2026-03-11T15:38:07.461+00:00,BTC-USD,coinbase,70154.85500000001,70154.85,70154.86
2026-03-11T15:38:07.533+00:00,ETH-USD,coinbase,2043.355,2043.35,2043.36
2026-03-11T15:38:07.576+00:00,BTC-USD,coinbase,70164.525,70164.52,70164.53
2026-03-11T15:38:07.599+00:00,SOL-USD,coinbase,85.155,85.15,85.16
2026-03-11T15:38:07.705+00:00,BTC-USD,coinbase,70164.525,70164.52,70164.53
2026-03-11T15:38:07.783+00:00,ETH-USD,coinbase,2043.205,2043.2,2043.21
2026-03-11T15:38:07.993+00:00,BTC-USD,coinbase,70160.485,70160.0,70160.97
2026-03-11T15:38:07.995+00:00,SOL-USD,coinbase,85.15,85.14,85.16
